0;10609;5132;6332;10064;16393;13099;13648;26412;24223
10219;0;7177;15854;17069;17771;12981;25218;37982;35793
4995;7292;0;8729;9449;14850;11930;16873;29637;27448
6072;14625;8551;0;6356;15032;11738;4029;11765;13533
9380;15408;9915;6246;0;7423;8985;7453;9779;14519
16017;18665;14851;13141;7389;0;7961;13223;8312;17541
13092;14452;11250;11912;9766;6702;0;15037;17818;22559
14844;27261;16395;4191;7774;14389;15092;0;15475;13285
26101;38518;27652;19431;9031;8265;14859;13671;0;9861
25518;37935;27069;18848;14546;17581;21408;13089;10387;0
